sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4,1.3,versicolor,0.870670337
6.9,3.1,5.1,2.3,virginica,0.940273987
5.1,2.5,3,1.1,versicolor,0.832632175
4.4,2.9,,0.2,setosa,0.768518399
5.9,3,5.1,1.8,virginica,0.693122656
5.5,3.5,1.3,0.2,setosa,0.955394452
5.6,,3.6,1.3,versicolor,0.817723593
6.5,3,5.2,2,virginica,0.855110035
5.3,3.7,1.5,0.2,setosa,0.979464999
5.1,3.4,1.5,,setosa,0.900247617
6.1,2.8,4,1.3,versicolor,0.906111689
5.5,2.4,3.7,1,versicolor,0.938109845
7.7,3,6.1,2.3,virginica,0.985480895
6.9,3.1,4.9,1.5,versicolor,0.703217934
6,2.2,5,1.5,virginica,0.604939584
