sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9645287550528151
6.9,3.1,5.1,2.3,virginica,0.9640872605314996
5.1,2.5,3.0,1.1,versicolor,0.9486158104011125
4.4,2.9,,0.2,setosa,0.6396745859668058
5.9,3.0,5.1,1.8,virginica,0.7588577978913302
5.5,3.5,1.3,0.2,setosa,0.9601755106410839
5.6,,3.6,1.3,versicolor,0.9366940465184338
6.5,3.0,5.2,2.0,virginica,0.9449594951950687
5.3,3.7,1.5,0.2,setosa,0.9651145065442028
5.1,3.4,1.5,,setosa,0.8161685207137952
6.1,2.8,4.0,1.3,versicolor,0.9773818262117053
5.5,2.4,3.7,1.0,versicolor,0.9775807105702068
7.7,3.0,6.1,2.3,virginica,0.9589730667618572
6.9,3.1,4.9,1.5,versicolor,0.745049506466251
6.0,2.2,5.0,1.5,versicolor,0.5908144655052356
